Author name,Document name,Paragraph number,Sentence number,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81
originalAbstract,2111.09381_originalAbstract.txt,1,1,﻿We,present,MEDCOD,",",a,Medically-,Accurate,",",Emotive,",",Diverse,",",and,Controllable,Dialog,system,with,a,unique,approach,to,the,natural,language,generator,module,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,2,MEDCOD,has,been,developed,and,evaluated,specifically,for,the,history,taking,task,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,3,It,integrates,the,advantage,of,a,traditional,modular,approach,to,incorporate,(,medical,),domain,knowledge,with,modern,deep,learning,techniques,to,generate,flexible,",",human-like,natural,language,expres-,sions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,4,Two,key,aspects,of,MEDCOD,’,s,natural,language,output,are,described,in,detail,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,5,First,",",the,generated,sentences,are,emotive,and,em-,pathetic,",",similar,to,how,a,doctor,would,com-,municate,to,the,patient,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,6,Second,",",the,gen-,erated,sentence,structures,and,phrasings,are,varied,and,diverse,while,maintaining,medical,consistency,with,the,desired,medical,concept,(,provided,by,the,dialogue,manager,module,of,MEDCOD,),.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,7,Experimental,results,demonstrate,the,effectiveness,of,our,approach,in,creating,a,human-like,medical,dialogue,system,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09381_originalAbstract.txt,1,8,Rele-,vant,code,is,available,at,https,:,//github.com/,curai/curai-,research/tree/main/MEDCOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09388_originalAbstract.txt,1,1,﻿This,work,applies,Minimum,Bayes,Risk,(,MBR,),decoding,to,optimize,diverse,auto-,mated,metrics,of,translation,quality,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
originalAbstract,2111.09388_originalAbstract.txt,1,2,Au-,tomatic,metrics,in,machine,translation,have,made,tremendous,progress,recently,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
